"Source","Destination","Status"
"C:\Users\wesbr\Buy Your Home\Buy Your Home - Property\13-BYH - 3325 Banks Rd\Buying\Insurance Proposal.pdf","C:\Users\wesbr\Buy Your Home\Buy Your Home - Property\13-BYH - 3325 Banks Rd\Owning\Insurance\Insurance Proposal.pdf","moved"
"C:\Users\wesbr\Buy Your Home\Buy Your Home - Property\13-BYH - 3325 Banks Rd\Owning\21-09-15 Reiag EIO .pdf","C:\Users\wesbr\Buy Your Home\Buy Your Home - Property\13-BYH - 3325 Banks Rd\Owning\Insurance\21-09-15 Reiag EIO .pdf","moved"
"C:\Users\wesbr\Buy Your Home\Buy Your Home - Property\13-BYH - 3325 Banks Rd\Owning\21-09-20 Rushmore - Insurance Lapse Notice.pdf","C:\Users\wesbr\Buy Your Home\Buy Your Home - Property\13-BYH - 3325 Banks Rd\Owning\Insurance\21-09-20 Rushmore - Insurance Lapse Notice.pdf","moved"
"C:\Users\wesbr\Buy Your Home\Buy Your Home - Property\13-BYH - 3325 Banks Rd\Owning\23-07-14 HO Insurance.pdf","C:\Users\wesbr\Buy Your Home\Buy Your Home - Property\13-BYH - 3325 Banks Rd\Owning\Insurance\23-07-14 HO Insurance.pdf","moved"
"C:\Users\wesbr\Buy Your Home\Buy Your Home - Property\13-BYH - 3325 Banks Rd\Owning\24-10-10 EOIs.pdf","C:\Users\wesbr\Buy Your Home\Buy Your Home - Property\13-BYH - 3325 Banks Rd\Owning\Insurance\24-10-10 EOIs.pdf","moved"
"C:\Users\wesbr\Buy Your Home\Buy Your Home - Property\13-BYH - 3325 Banks Rd\Owning\Rushmore Loan Mangement\25-11-03 Rushmore Second and Final Notice Insurance.pdf","C:\Users\wesbr\Buy Your Home\Buy Your Home - Property\13-BYH - 3325 Banks Rd\Owning\Insurance\25-11-03 Rushmore Second and Final Notice Insurance.pdf","moved"
"C:\Users\wesbr\Buy Your Home\Buy Your Home - Property\14-SYH-5008 Larchmont Dr\Owning\Matt Everett\24-05-17 Insurance Motgagee Sell Your Home Larchmont Updated EOI.PDF","C:\Users\wesbr\Buy Your Home\Buy Your Home - Property\14-SYH-5008 Larchmont Dr\Owning\Insurance\24-05-17 Insurance Motgagee Sell Your Home Larchmont Updated EOI.PDF","moved"
"C:\Users\wesbr\Buy Your Home\Buy Your Home - Property\18-HM-1426 Pleasant Garden Ln\Owning\25-08-01 State Farm .pdf","C:\Users\wesbr\Buy Your Home\Buy Your Home - Property\18-HM-1426 Pleasant Garden Ln\Owning\Insurance\25-08-01 State Farm .pdf","moved"
"C:\Users\wesbr\Buy Your Home\Buy Your Home - Property\18-HM-1426 Pleasant Garden Ln\Owning\State Farm Insurance\25-07-07 Policy One Year.pdf","C:\Users\wesbr\Buy Your Home\Buy Your Home - Property\18-HM-1426 Pleasant Garden Ln\Owning\Insurance\25-07-07 Policy One Year.pdf","moved"
"C:\Users\wesbr\Buy Your Home\Buy Your Home - Property\18-HM-1426 Pleasant Garden Ln\Owning\State Farm Insurance\25-08-01 State Farm Balance Due.pdf","C:\Users\wesbr\Buy Your Home\Buy Your Home - Property\18-HM-1426 Pleasant Garden Ln\Owning\Insurance\25-08-01 State Farm Balance Due.pdf","moved"
"C:\Users\wesbr\Buy Your Home\Buy Your Home - Property\18-HM-1426 Pleasant Garden Ln\Owning\State Farm Insurance\26-07-07 - State Farm Renewal Certificate.pdf","C:\Users\wesbr\Buy Your Home\Buy Your Home - Property\18-HM-1426 Pleasant Garden Ln\Owning\Insurance\26-07-07 - State Farm Renewal Certificate.pdf","moved"
"C:\Users\wesbr\Buy Your Home\Buy Your Home - Property\19-HM-115 Rosebrooks Dr\Owning\Shellpoint Mortgage\24-11-14 BSI Insurance Request.pdf","C:\Users\wesbr\Buy Your Home\Buy Your Home - Property\19-HM-115 Rosebrooks Dr\Owning\Insurance\24-11-14 BSI Insurance Request.pdf","moved"
"C:\Users\wesbr\Buy Your Home\Buy Your Home - Property\20-BYH - 8225 Burgwyn Ln\Owning\24-07-01 New Insurance Letter from Rushmore.pdf","C:\Users\wesbr\Buy Your Home\Buy Your Home - Property\20-BYH - 8225 Burgwyn Ln\Owning\Insurance\24-07-01 New Insurance Letter from Rushmore.pdf","moved"
"C:\Users\wesbr\Buy Your Home\Buy Your Home - Property\21-SYH - 1343 Old Buckhorn Rd\Owning\Shellpoint - Specialized Loan Servicing\25-05-08 Insurance Second Notice.pdf","C:\Users\wesbr\Buy Your Home\Buy Your Home - Property\21-SYH - 1343 Old Buckhorn Rd\Owning\Insurance\25-05-08 Insurance Second Notice.pdf","moved"
"C:\Users\wesbr\Buy Your Home\Buy Your Home - Property\21-SYH - 1343 Old Buckhorn Rd\Owning\Shellpoint - Specialized Loan Servicing\25-06-02 Shellpoint Lender-Placed Insurance Change.pdf","C:\Users\wesbr\Buy Your Home\Buy Your Home - Property\21-SYH - 1343 Old Buckhorn Rd\Owning\Insurance\25-06-02 Shellpoint Lender-Placed Insurance Change.pdf","moved"
"C:\Users\wesbr\Buy Your Home\Buy Your Home - Property\22-HM-2325 Cool Springs Rd\Owning\Planet Home Lending - AMERIS BANK\25-03-05 Planet Home Lending Insurance Changes.pdf","C:\Users\wesbr\Buy Your Home\Buy Your Home - Property\22-HM-2325 Cool Springs Rd\Owning\Insurance\25-03-05 Planet Home Lending Insurance Changes.pdf","moved"
"C:\Users\wesbr\Buy Your Home\Buy Your Home - Property\22-HM-2325 Cool Springs Rd\Owning\Planet Home Lending - AMERIS BANK\26-01-20 Planet Home Lending Property Insurance .pdf","C:\Users\wesbr\Buy Your Home\Buy Your Home - Property\22-HM-2325 Cool Springs Rd\Owning\Insurance\26-01-20 Planet Home Lending Property Insurance .pdf","moved"
"C:\Users\wesbr\Buy Your Home\Buy Your Home - Property\25-401K- 612 Britton Ct\Owning\Prperty Documents provided by Seller\Home Insurance Renewal Package with Bill.pdf","C:\Users\wesbr\Buy Your Home\Buy Your Home - Property\25-401K- 612 Britton Ct\Owning\Insurance\Home Insurance Renewal Package with Bill.pdf","moved"
"C:\Users\wesbr\Buy Your Home\Buy Your Home - Property\25-401K- 612 Britton Ct\Owning\Prperty Documents provided by Seller\Proof_of_Insurance.pdf","C:\Users\wesbr\Buy Your Home\Buy Your Home - Property\25-401K- 612 Britton Ct\Owning\Insurance\Proof_of_Insurance.pdf","moved"
"C:\Users\wesbr\Buy Your Home\Buy Your Home - Property\25-401K- 612 Britton Ct\Owning\State Farm - NCJUA\26-01-23 Insurance Policy .pdf","C:\Users\wesbr\Buy Your Home\Buy Your Home - Property\25-401K- 612 Britton Ct\Owning\Insurance\26-01-23 Insurance Policy .pdf","moved"
"C:\Users\wesbr\Buy Your Home\Buy Your Home - Property\25-401K- 612 Britton Ct\Owning\State Farm - NCJUA\26-03-25 612 Britton Ct, BYH 401K Declarations.pdf","C:\Users\wesbr\Buy Your Home\Buy Your Home - Property\25-401K- 612 Britton Ct\Owning\Insurance\26-03-25 612 Britton Ct, BYH 401K Declarations.pdf","moved"
"C:\Users\wesbr\Buy Your Home\Buy Your Home - Property\25-401K- 612 Britton Ct\Owning\State Farm - NCJUA\26-03-25 612 Britton Updated Declarations.pdf","C:\Users\wesbr\Buy Your Home\Buy Your Home - Property\25-401K- 612 Britton Ct\Owning\Insurance\26-03-25 612 Britton Updated Declarations.pdf","moved"
"C:\Users\wesbr\Buy Your Home\Buy Your Home - Property\27-HM- 7001 Outrigger Dr\Owning\VILLAGE CAPITAL MORTGAGE\25-10-29 Lender Placed Hazard Insurance Integon.pdf","C:\Users\wesbr\Buy Your Home\Buy Your Home - Property\27-HM- 7001 Outrigger Dr\Owning\Insurance\25-10-29 Lender Placed Hazard Insurance Integon.pdf","moved"
